year,month, 0-4, 5-9, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84, 85-89, 90-94, 95-99, 100-104, 105-109, 110-114, 115-119,total_excess
2020,1,-5.8,-16.2,-7.8,-9,-4,-16.2,17.4,-14.4,23.6,11.6,50,-9.4,3.4,-2,63.8,12.4,16.2,-13.6,-21.2,-1.6,-3.2,0.6,0.6,0,75.2
2020,2,7.6,-15.6,-6.4,-7.2,-8.8,-30.2,3.6,-15.6,10.8,-42.8,22.2,27.4,87.4,48.6,129.8,11.6,47.4,6.8,12.6,15.4,0.4,1,0,0,306
2020,3,-4,-9.6,-6.4,-27.8,-25.2,-41.2,-9.6,-20.6,-18.8,-43.8,-26,30.8,28.4,31.2,51,4.6,6.6,1,15.8,3.4,4,3.4,-0.2,-0.2,-53.2
2020,4,-37.8,-23.4,-14.2,-16.6,-67.8,-59.4,-60.8,-71.4,-63.8,-78.6,-61.2,-92.8,-18.4,15,56.4,-14.4,26.2,-8.8,7,17,-3.6,0.4,-0.4,0,-571.4
2020,5,-2.8,-12.4,-12.2,-37.8,-52,-30.6,-50.4,-64,5.8,-30,53.4,89,203.8,218,334.6,222.8,246,72.6,65.2,2,-1,-1.2,0,-0.2,1218.6
2020,6,-18,-18.6,-4.6,-39.6,-59.4,-49.6,-22.4,-18.6,50.6,43.6,165.6,247.6,363.4,491.8,570.2,364.8,346.8,182,88,20.2,8,-1,-0.2,0,2710.6
2020,7,-8.2,-18.2,-13,-15.8,-39.6,-45.4,-36.6,-27.2,18.8,-5.4,87.4,149,224.6,246.8,282,248.6,197,68,73.8,-0.6,1.2,0.2,-0.6,0,1386.8
2020,8,-2.2,-16.2,-7.2,-22.4,-38,-24.2,-28,5.4,26,23.2,152.2,227.8,245.4,221.6,431.8,290.8,195.8,124.6,58,20.8,7.8,1.4,0,0,1894.4
2020,9,-11.4,-8,-6.8,-20,-15.4,6.2,-0.6,15.8,42.8,85.2,173.8,210.8,339.8,285,389.4,219,256.6,100.6,37.8,7.8,3,0.8,0.8,-0.2,2112.8
2020,10,-25,-16.2,-14.4,-21.6,-31.2,-34.2,-14.6,-1.4,26.8,-8.8,64.6,161.6,250.8,217,341.4,170.4,172.4,72,47.6,-1.6,1.4,1.4,1.8,0,1360.2
2020,11,-2.8,-9,-10.4,-1.4,-7.6,-26.6,-18.8,-31.4,-0.8,-6.4,25.2,23.6,90,60.8,250,73.4,53.2,36.4,-3,-8.8,2.6,0.6,-0.6,1,489.2
2020,12,-4.2,-11.6,-0.6,-14.6,-15.2,-21.6,-15.8,-26.6,22.2,9.8,58.4,84,126,141.4,262.6,139.6,187.2,61,45.2,9.6,-0.4,-1.6,-0.2,0,1034.6
2021,1,-30,-8.8,-1.8,-8.2,-10.2,-22.8,-23.6,-6,15.6,-8,-16.8,55.2,66.6,86.8,129.4,70.8,52.6,-14.4,61.6,-2.6,-5.4,-1.8,-0.6,0,377.6
2021,2,-62.2,-15.4,-2,-1.4,6.8,-43.4,-16.6,-20.2,-0.4,9.2,7.2,50.6,60.4,49.6,102.4,57.6,14.6,-22.4,13.6,4,1,-1,0,0,192
2021,3,-29.8,-8.6,-0.2,-8.8,-20,-17.8,-8.2,8,17.4,33.6,80,127.4,110.4,135.2,202.4,97.6,95.2,14.2,21.4,4.4,-3,-0.4,-0.2,-0.2,850
2021,4,-40.6,-14.2,-3,4.6,-1.6,20,53.2,77,148.6,251.4,350,559.2,714.4,690.8,776.4,515,483,230,126,41.4,9.4,-0.8,-0.4,0,4989.8
2021,5,-13.6,-10.8,-6.6,-19,-17.6,58.2,223,378.8,582.4,820,1140.6,1565.6,1839.6,1941.4,2151.4,1387,1270,750.8,318.4,82.6,15.8,-1,0,-0.2,14456.8
2021,6,-29,-10,2.4,-29,-50.8,-14,13.2,62.4,76.4,131,167.8,166.6,268.6,199,164.8,66.8,75,15.6,-5.4,-3.6,2.6,0,-0.2,0,1270.2
