Date,Males,Females,Total_Deceased
2010-01-01,3639,2582,6221
2010-02-01,2703,1877,4580
2010-03-01,2570,1810,4380
2010-04-01,2272,1531,3803
2010-05-01,2325,1653,3978
2010-06-01,2297,1549,3846
2010-07-01,2465,1663,4128
2010-08-01,2429,1802,4231
2010-09-01,2441,1646,4087
2010-10-01,2711,1766,4477
2010-11-01,2791,1856,4647
2010-12-01,3163,2155,5318
2011-01-01,3622,2577,6199
2011-02-01,2669,1884,4553
2011-03-01,2471,1819,4290
2011-04-01,2222,1595,3817
2011-05-01,2457,1709,4166
2011-06-01,3011,2007,5018
2011-07-01,2875,1920,4795
2011-08-01,2444,1728,4172
2011-09-01,2438,1626,4064
2011-10-01,2915,1936,4851
2011-11-01,2918,1969,4887
2011-12-01,3417,2493,5910
2012-01-01,3303,2402,5705
2012-02-01,3079,2132,5211
2012-03-01,2669,2002,4671
2012-04-01,2426,1703,4129
2012-05-01,2650,1955,4605
2012-06-01,2718,1968,4686
2012-07-01,2618,1802,4420
2012-08-01,2863,1956,4819
2012-09-01,2751,2064,4815
2012-10-01,2831,1889,4720
2012-11-01,3032,1979,5011
2012-12-01,3528,2517,6045
2013-01-01,3911,2863,6774
2013-02-01,3075,2166,5241
2013-03-01,2880,1981,4861
2013-04-01,2625,1704,4329
2013-05-01,2820,1939,4759
2013-06-01,2664,1813,4477
2013-07-01,2581,1780,4361
2013-08-01,2602,1749,4351
2013-09-01,2572,1670,4242
2013-10-01,2786,1826,4612
2013-11-01,3205,2145,5350
2013-12-01,3440,2349,5789
2014-01-01,3713,2680,6393
2014-02-01,3203,2217,5420
2014-03-01,3125,2106,5231
2014-04-01,2799,2090,4889
2014-05-01,2885,2068,4953
2014-06-01,3092,2086,5178
2014-07-01,2941,1913,4854
2014-08-01,2856,1955,4811
2014-09-01,2855,1919,4774
2014-10-01,2831,1915,4746
2014-11-01,3166,2128,5294
2014-12-01,3708,2613,6321
2015-01-01,3662,2692,6354
2015-02-01,3257,2357,5614
2015-03-01,3090,2200,5290
2015-04-01,2731,1849,4580
2015-05-01,2823,2068,4891
2015-06-01,2561,1877,4438
2015-07-01,2810,1926,4736
2015-08-01,3038,2233,5271
2015-09-01,3160,2244,5404
2015-10-01,3117,2069,5186
2015-11-01,3069,2084,5153
2015-12-01,3573,2451,6024
2016-01-01,3903,2772,6675
2016-02-01,3021,2232,5253
2016-03-01,2960,2044,5004
2016-04-01,2808,2210,5018
2016-05-01,2723,1895,4618
2016-06-01,2851,1944,4795
2016-07-01,3130,2136,5266
2016-08-01,3324,2316,5640
2016-09-01,3033,2145,5178
2016-10-01,3371,2309,5680
2016-11-01,3486,2268,5754
2016-12-01,3822,2790,6612
2017-01-01,4161,2939,7100
2017-02-01,3321,2386,5707
2017-03-01,3326,2257,5583
2017-04-01,3049,2087,5136
2017-05-01,3244,2303,5547
2017-06-01,2839,1957,4796
2017-07-01,3193,2156,5349
2017-08-01,3691,2593,6284
2017-09-01,3342,2358,5700
2017-10-01,3424,2433,5857
2017-11-01,3647,2546,6193
2017-12-01,4003,2890,6893
2018-01-01,4795,3497,8292
2018-02-01,3531,2633,6164
2018-03-01,3255,2297,5552
2018-04-01,2837,1947,4784
2018-05-01,2862,2102,4964
2018-06-01,2932,2088,5020
2018-07-01,2886,1987,4873
2018-08-01,3287,2264,5551
2018-09-01,3169,2317,5486
2018-10-01,3523,2343,5866
2018-11-01,3362,2305,5667
2018-12-01,4161,2914,7075
2019-01-01,4430,3432,7862
2019-02-01,3804,2732,6536
2019-03-01,3652,2515,6167
2019-04-01,3010,2167,5177
2019-05-01,3149,2144,5293
2019-06-01,3149,2207,5356
2019-07-01,3260,2099,5359
2019-08-01,2975,2072,5047
2019-09-01,2995,2032,5027
2019-10-01,3447,2336,5783
2019-11-01,3418,2421,5839
2019-12-01,3932,2686,6618
2020-01-01,4343,3188,7531
2020-02-01,3683,2699,6382
2020-03-01,3096,2289,5385
2020-04-01,2716,2114,4830
2020-05-01,3101,2260,5361
2020-06-01,2875,2099,4974
2020-07-01,3922,2673,6595
2020-08-01,3928,2620,6548
2020-09-01,3593,2442,6035
2020-10-01,4326,2617,6943
2020-11-01,4424,2791,7215
2020-12-01,4398,3046,7444
2021-01-01,3694,2720,6414
2021-02-01,2942,2256,5198
2021-03-01,2454,1978,4432
2021-04-01,4647,3410,8057
2021-05-01,7194,5152,12346
2021-06-01,1104,851,1955
