Date,MALE,FEMALE,Total
2021-01-01,1054,761,1815
2021-01-08,925,652,1577
2021-01-15,861,632,1493
2021-01-22,809,605,1414
2021-01-29,915,632,1547
2021-02-05,894,684,1578
2021-02-12,799,573,1372
2021-02-19,799,575,1374
2021-02-26,735,567,1302
2021-03-05,675,507,1182
2021-03-12,652,522,1174
2021-03-19,692,505,1197
2021-03-26,677,493,1170
2021-04-02,784,529,1313
2021-04-09,975,699,1674
2021-04-16,1293,938,2231
2021-04-23,1888,1337,3225
2021-04-30,2189,1518,3707
2021-05-07,1985,1415,3400
2021-05-14,1873,1382,3255
2021-05-21,1467,1024,2491
2021-05-28,1138,785,1923
2021-06-04,980,733,1713
2021-06-11,773,592,1365
2021-06-18,806,565,1371
2021-06-25,765,609,1374
2021-07-02,813,585,1398
2021-07-09,798,571,1369
2021-07-16,736,525,1261
2021-07-23,674,519,1193
2021-07-30,720,510,1230
2021-08-06,779,546,1325
2021-08-13,718,490,1208
2021-08-20,713,513,1226
2021-08-27,639,483,1122
2021-09-03,733,526,1259
2021-09-10,723,540,1263
2021-09-17,763,552,1315
2021-09-24,729,598,1327
2021-10-01,800,639,1439
2021-10-08,783,564,1347
2021-10-15,754,525,1279
2021-10-22,746,597,1343
2021-10-29,762,572,1334
2021-11-05,803,580,1383
2021-11-12,824,556,1380
2021-11-19,866,605,1471
2021-11-26,834,581,1415
2021-12-03,771,517,1288
2021-12-10,840,559,1399
2021-12-17,906,643,1549
2021-12-24,947,735,1682
2021-12-31,1058,745,1803
2022-01-07,1175,877,2052
2022-01-14,1161,834,1995
2022-01-21,1050,822,1872
2022-01-28,960,709,1669
2022-02-04,785,559,1344
2022-02-11,792,548,1340
2022-02-18,737,514,1251
2022-02-25,650,490,1140
2022-03-04,629,467,1096
2022-03-11,665,496,1161
2022-03-18,554,420,974
2022-03-25,511,465,976
2022-04-01,492,373,865
2022-04-08,460,371,831
2022-04-15,438,346,784
2022-04-22,468,445,913
2022-04-29,75,49,124
